	date	title	link
994	2012-02-21	В Германии советский танк может стать памятником	file:///news/2012-02-21/105151-v_germanii_sovetskiy_tank_mozhet_stat_pamyatnikom
995	2012-02-21	В Германии со дна реки подняли легендарный советский танк	file:///news/2012-02-21/105105-v_germanii_so_dna_reki_podnyali_legendarnyy_sovetskiy_tank
996	2012-02-21	Легендарный советский танк Т-34 обнаружили на дне реки в Германии	file:///news/2012-02-21/105098-legendarnyy_sovetskiy_tank_t_34_obnaruzhili_na_dne_reki_v_germanii
997	2012-02-21	В Германии строители дамбы на дне реки обнаружили танк Т-34	file:///news/2012-02-21/105088-v_germanii_stroiteli_damby_na_dne_reki_obnaruzhili_tank_t_34
998	2012-02-21	В Нигере арестован сын Муамара Каддафи	file:///news/2012-02-12/104368-v_nigere_arestovan_syn_muamara_kaddafi
999	2012-02-12	Во Владивостоке полноправными гражданами России стали 24 переселенца из Боливии	file:///news/2012-02-01/103539-vo_vladivostoke_polnopravnymi_grazhdanami_rossii_stali_24_pereselentsa_iz_bolivii
1000	2012-02-01	Во Владивостоке вручили паспорта 24 добровольным переселенцам	file:///news/2012-02-01/103505-vo_vladivostoke_vruchili_pasporta_24_dobrovolnym_pereselentsam
1001	2012-02-01	Клиенты обанкротившейся компании «Ланта-тур вояж» могут подавать заявление на выплату компенсации	file:///news/2012-01-30/103338-klienty_obankrotivsheysya_kompanii_lanta_tur_voyazh_mogut_podavat_zayavlenie_na_vyplatu_kompensatsii
1002	2012-01-30	МВД России просит компетентные органы Австрии посодействовать в допросе Елены Батуриной	file:///news/2012-01-30/103337-mvd_rossii_prosit_kompetentnye_organy_avstrii_posodeystvovat_v_doprose_eleny_baturinoy
1003	2012-01-30	Ровно полгода остается до старта Летних Олимпийских Игр	file:///news/2012-01-27/103163-rovno_polgoda_ostaetsya_do_starta_letnih_olimpiyskih_igr
1004	2012-01-27	В Волгоградской области почти 200 человек вынуждены в сильные морозы жить в шалашах	file:///news/2012-01-26/103014-v_volgogradskoy_oblasti_pochti_200_chelovek_vynuzhdeny_v_silnye_morozy_zhit_v_shalashah
1005	2012-01-26	Нападающий ЦСКА Вагнер Лав переходит в бразильский «Фламенго»	file:///news/2012-01-25/102947-napadayuschiy_tsska_vagner_lav_perehodit_v_brazilskiy_flamengo
1006	2012-01-25	На Первом канале премьера фильма о легендарном советском полководце Георгии Жукове	file:///news/2012-01-23/102746-na_pervom_kanale_premiera_filma_o_legendarnom_sovetskom_polkovodtse_georgii_zhukove
1007	2012-01-23	На Первом канале состоится премьера фильма «Жуков»	file:///news/2012-01-23/102719-na_pervom_kanale_sostoitsya_premiera_filma_zhukov
1008	2012-01-23	Ответ на национальный вопрос — в новой статье Владимира Путина	file:///news/2012-01-23/102699-otvet_na_natsionalnyy_vopros_v_novoy_statie_vladimira_putina
1009	2012-01-23	Россияне с затонувшего итальянского лайнера возвращаются на Родину	file:///news/2012-01-16/102064-rossiyane_s_zatonuvshego_italyanskogo_laynera_vozvraschayutsya_na_rodinu
1010	2012-01-16	На месте крушения лайнера «Коста Конкордиа» обнаружено тело ещё одного погибшего	file:///news/2012-01-16/102045-na_meste_krusheniya_laynera_kosta_konkordia_obnaruzheno_telo_eschyo_odnogo_pogibshego
1011	2012-01-16	На Родину начали возвращаться россияне, которые находились на круизном лайнере «Коста Конкордия»	file:///news/2012-01-16/102030-na_rodinu_nachali_vozvraschatsya_rossiyane_kotorye_nahodilis_na_kruiznom_laynere_kosta_konkordiya
1012	2012-01-16	Продолжается расшифровка данных «чёрных ящиков» круизного лайнера «Коста Конкордиа»	file:///news/2012-01-16/102019-prodolzhaetsya_rasshifrovka_dannyh_chyornyh_yaschikov_kruiznogo_laynera_kosta_konkordia
